LSOACode,Cluster
E01000849,3
E01000852,3
E01000854,3
E01000855,3
E01000857,3
E01000859,3
E01000860,3
E01000861,3
E01000862,3
E01000863,3
E01000864,3
E01000866,3
E01000869,3
E01000870,1
E01000871,3
E01000872,3
E01000873,3
E01000874,3
E01000875,3
E01000876,1
E01000877,3
E01000878,3
E01000879,3
E01000880,3
E01000881,3
E01000882,3
E01000883,3
E01000884,0
E01000885,0
E01000886,3
E01000887,3
E01000888,3
E01000892,3
E01000893,0
E01000894,3
E01000895,3
E01000896,3
E01000897,0
E01000898,3
E01000899,0
E01000900,1
E01000903,3
E01000904,1
E01000906,3
E01000908,3
E01000909,3
E01000910,3
E01000911,3
E01000912,1
E01000913,0
E01000914,3
E01000918,3
E01000919,3
E01000920,3
E01000921,3
E01000922,1
E01000923,3
E01000924,3
E01000926,3
E01000927,3
E01000928,3
E01000930,1
E01000931,1
E01000932,3
E01000933,3
E01000937,3
E01000946,3
E01000947,3
E01000960,3
E01000961,3
E01000962,3
E01000963,3
E01000964,3
E01000965,3
E01000966,3
E01000967,3
E01000968,3
E01000969,3
E01000970,3
E01000971,3
E01000972,3
E01000973,3
E01000974,1
E01000975,3
E01000976,3
E01000977,1
E01000978,3
E01000979,3
E01000980,3
E01000981,3
E01000982,3
E01000983,3
E01000984,1
E01000985,0
E01000986,3
E01000987,0
E01000989,0
E01000991,0
E01000993,3
E01000994,3
E01000995,3
E01000996,3
E01000998,1
E01000999,3
E01001000,3
E01001002,3
E01001003,3
E01001004,1
E01001005,3
E01001006,1
E01001007,3
E01001008,1
E01001009,3
E01001014,1
E01001015,2
E01001016,0
E01001017,0
E01001018,0
E01001019,0
E01001020,0
E01001021,1
E01001022,0
E01001023,3
E01001024,0
E01001025,0
E01001026,2
E01001027,0
E01001028,0
E01001029,3
E01001031,0
E01001032,0
E01001033,3
E01001034,3
E01001035,3
E01001036,0
E01001037,3
E01001038,3
E01001039,0
E01001040,3
E01001041,3
E01001042,1
E01001043,3
E01001044,3
E01001045,3
E01001046,0
E01001047,3
E01001048,3
E01001049,0
E01001050,3
E01001058,0
E01001059,2
E01001060,2
E01001061,1
E01001062,0
E01001063,0
E01001064,0
E01001065,3
E01001067,0
E01001068,2
E01001069,0
E01001070,2
E01001071,0
E01001072,0
E01001073,3
E01001074,3
E01001075,3
E01001077,2
E01001081,1
E01001082,1
E01001083,3
E01001084,3
E01001086,3
E01001087,3
E01001088,2
E01001089,1
E01001090,3
E01001091,3
E01001092,3
E01001093,3
E01001094,0
E01001095,3
E01001096,0
E01001097,3
E01001098,0
E01001099,2
E01001100,0
E01001101,0
E01001102,0
E01001103,0
E01001104,0
E01001105,2
E01001106,2
E01001107,0
E01001108,0
E01001109,1
E01001110,3
E01001111,1
E01001112,1
E01001113,1
E01001114,1
E01001115,1
E01001117,3
E01001118,1
E01001119,0
E01001120,2
E01001121,0
E01001122,0
E01001123,0
E01001124,0
E01001125,2
E01001126,0
E01001127,0
E01001129,0
E01001131,2
E01001132,0
E01001133,0
E01001134,0
E01001135,0
E01001136,1
E01001137,3
E01001138,3
E01001139,3
E01001140,3
E01001141,1
E01001142,3
E01001144,1
E01001145,1
E01001146,3
E01001148,3
E01001149,3
E01001150,3
E01001152,1
E01001153,3
E01001154,1
E01001155,1
E01001156,3
E01001157,3
E01001158,3
E01001159,3
E01001160,3
E01001161,1
E01001162,3
E01001163,3
E01001164,3
E01001165,3
E01001166,3
E01001167,3
E01001168,3
E01001169,1
E01001170,3
E01001171,3
E01001173,3
E01001175,1
E01001176,3
E01001177,1
E01001179,3
E01001180,3
E01001181,1
E01001185,3
E01001186,1
E01001187,3
E01001189,3
E01001190,3
E01001191,1
E01001192,1
E01001194,3
E01001195,3
E01001196,1
E01001197,3
E01001198,3
E01001199,3
E01001200,3
E01001201,3
E01001202,1
E01001203,1
E01001204,3
E01001205,1
E01001207,3
E01001208,3
E01001209,3
E01001211,3
E01001212,3
E01001221,3
E01001222,3
E01001223,0
E01001224,0
E01001225,3
E01001226,3
E01001227,0
E01001228,3
E01001229,1
E01001230,3
E01001231,3
E01001232,3
E01001234,3
E01001235,3
E01001236,3
E01001237,3
E01001238,3
E01001241,3
E01001242,3
E01001243,3
E01001244,3
E01001245,3
E01001247,3
E01001249,1
E01001250,1
E01001251,3
E01001252,3
E01001253,3
E01001254,3
E01001255,3
E01001258,3
E01001260,3
E01001262,1
E01001263,1
E01001264,1
E01001265,3
E01001266,3
E01001267,1
E01001268,3
E01001269,3
E01001270,3
E01001271,3
E01001273,0
E01001274,0
E01001275,3
E01001276,3
E01001277,3
E01001278,3
E01001279,0
E01001280,3
E01001281,0
E01001282,1
E01001283,1
E01001284,3
E01001285,3
E01001288,3
E01001289,3
E01001290,3
E01001299,0
E01001300,3
E01001301,3
E01001302,3
E01001303,3
E01001304,3
E01001305,0
E01001306,0
E01001307,3
E01001308,3
E01001309,3
E01001310,3
E01001311,1
E01001312,3
E01001313,3
E01001315,3
E01001316,1
E01001317,1
E01001319,2
E01001321,1
E01001322,3
E01001323,3
E01001324,1
E01001325,1
E01001326,1
E01001328,1
E01001329,3
E01001335,3
E01001336,3
E01001344,3
E01001346,3
E01001347,3
E01001348,3
E01001350,3
E01001351,3
E01001352,3
E01001353,3
E01001354,3
E01001355,3
E01001374,3
E01001375,0
E01001376,3
E01001377,3
E01001379,0
E01001380,3
E01001381,3
E01001382,0
E01001383,3
E01001384,3
E01001385,3
E01001386,3
E01001387,3
E01001389,3
E01001390,3
E01001391,3
E01001392,3
E01001393,3
E01001394,1
E01001397,1
E01001398,0
E01001399,0
E01001400,0
E01001401,3
E01001402,0
E01001403,3
E01001404,3
E01001405,3
E01001406,3
E01001407,2
E01001408,3
E01001409,1
E01001410,1
E01001411,3
E01001412,1
E01001413,0
E01001415,3
E01001416,0
E01001417,0
E01001418,3
E01001419,3
E01001420,1
E01001421,1
E01001422,0
E01001423,1
E01001431,1
E01001432,1
E01001436,1
E01001437,1
E01001438,1
E01001439,1
E01001440,1
E01001441,1
E01001444,3
E01001445,1
E01001446,1
E01001448,1
E01001449,1
E01001450,3
E01001451,3
E01001452,0
E01001453,0
E01001454,0
E01001455,0
E01001457,0
E01001460,1
E01001461,1
E01001462,1
E01001463,1
E01001466,1
E01001467,1
E01001468,2
E01001469,2
E01001470,0
E01001471,3
E01001472,3
E01001473,2
E01001474,0
E01001475,0
E01001476,1
E01001478,3
E01001479,1
E01001480,1
E01001481,1
E01001483,1
E01001484,3
E01001485,1
E01001488,1
E01001489,1
E01001491,1
E01001492,1
E01001493,1
E01001494,3
E01001495,3
E01001496,3
E01001498,3
E01001499,3
E01001500,3
E01001501,3
E01001503,1
E01001505,1
E01001508,1
E01001511,3
E01001512,3
E01001513,1
E01001514,1
E01001515,1
E01001518,3
E01001519,3
E01001520,3
E01001521,0
E01001522,3
E01001523,0
E01001524,2
E01001525,3
E01001526,0
E01001527,3
E01001529,1
E01001530,3
E01001531,0
E01001532,0
E01001533,0
E01001535,0
E01001536,3
E01001537,2
E01001538,0
E01001539,3
E01001540,3
E01001541,3
E01001542,3
E01001543,0
E01001544,0
E01001546,1
E01001547,1
E01001550,1
E01001551,1
E01001552,1
E01001555,1
E01001557,1
E01001559,1
E01001563,3
E01001564,3
E01001565,3
E01001566,3
E01001567,0
E01001568,0
E01001569,3
E01001570,3
E01001571,3
E01001572,3
E01001573,3
E01001577,1
E01001578,1
E01001579,1
E01001580,3
E01001581,3
E01001582,3
E01001583,3
E01001584,0
E01001585,0
E01001586,3
E01001587,3
E01001588,1
E01001590,3
E01001591,1
E01001592,3
E01001593,3
E01001594,1
E01001596,0
E01001597,3
E01001598,2
E01001599,2
E01001600,2
E01001601,2
E01001602,1
E01001604,3
E01001605,0
E01001606,0
E01001607,3
E01001608,0
E01001609,3
E01001610,2
E01001611,3
E01001613,3
E01001614,0
E01001615,3
E01001617,0
E01001618,1
E01001619,3
E01001621,1
E01001623,1
E01001624,1
E01001632,3
E01001635,3
E01001636,3
E01001637,1
E01001641,3
E01001642,3
E01001644,3
E01001645,1
E01001647,3
E01001648,2
E01001650,1
E01001651,1
E01001652,3
E01001654,1
E01001656,2
E01001657,3
E01001658,3
E01001659,3
E01001661,1
E01001662,3
E01001664,3
E01001665,3
E01001666,3
E01001668,1
E01001669,1
E01001671,1
E01001672,1
E01001674,3
E01001675,1
E01001677,3
E01001678,2
E01001679,2
E01001680,0
E01001682,3
E01001683,3
E01001685,3
E01001688,3
E01001697,1
E01001700,1
E01001701,3
E01001704,3
E01001708,3
E01001715,3
E01001718,3
E01001720,3
E01001722,1
E01001723,3
E01001724,3
E01001731,1
E01001733,3
E01001734,1
E01001735,1
E01001736,3
E01001737,3
E01001738,3
E01001739,3
E01001741,3
E01001742,3
E01001744,3
E01001747,3
E01001748,3
E01001749,3
E01001750,1
E01001751,3
E01001754,1
E01001756,3
E01001759,3
E01001760,1
E01001761,1
E01001762,3
E01001763,3
E01001764,3
E01001767,3
E01001768,3
E01001769,3
E01001770,1
E01001774,3
E01001777,3
E01001784,3
E01001785,1
E01001789,1
E01001792,1
E01001793,3
E01001794,3
E01001795,3
E01001796,3
E01001803,3
E01001806,3
E01001815,1
E01001816,3
E01001819,3
E01001829,3
E01001831,3
E01001832,3
E01001833,1
E01001834,3
E01001835,3
E01001836,3
E01001837,3
E01001839,1
E01001840,1
E01001841,1
E01001842,1
E01001843,1
E01001844,3
E01001847,1
E01001849,1
E01001851,3
E01001852,3
E01001853,3
E01001854,3
E01001855,3
E01001857,1
E01001858,3
E01001859,3
E01001860,1
E01001861,1
E01001862,1
E01001863,3
E01001864,3
E01001865,3
E01001866,3
E01001867,3
E01001869,3
E01001870,3
E01001871,3
E01001872,3
E01001873,3
E01001879,3
E01001881,3
E01001882,3
E01001883,3
E01001884,3
E01001886,1
E01001887,3
E01001888,3
E01001889,3
E01001890,3
E01001891,3
E01001892,1
E01001894,1
E01001895,3
E01001896,3
E01001897,3
E01001898,3
E01001901,3
E01001902,3
E01001903,3
E01001904,3
E01001905,3
E01001906,3
E01001907,3
E01001908,3
E01001909,3
E01001910,3
E01001913,3
E01001914,3
E01001915,3
E01001916,0
E01001917,3
E01001918,3
E01001919,3
E01001920,1
E01001921,3
E01001922,3
E01001923,3
E01001924,3
E01001925,3
E01001926,3
E01001927,3
E01001928,3
E01001929,3
E01001930,3
E01001931,3
E01001932,3
E01001933,3
E01001935,3
E01001937,3
E01001938,3
E01001939,1
E01001940,1
E01001941,3
E01001942,3
E01001943,3
E01001945,3
E01001946,3
E01001948,3
E01001949,3
E01001950,3
E01001951,3
E01001952,3
E01001953,3
E01001954,1
